"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3","Medium","Technology gap ratio","Female","Female
farmer",-5.76478864288423,0.834332064835781,0
"6","High","Technology gap ratio","Female","Female
farmer",1.96451928071996,0.273691461026892,0
"9","Medium","Technology gap ratio","Female","Male
farmer",-3.80321271413474,0.741187300973072,0
"12","High","Technology gap ratio","Female","Male
farmer",3.82437863744123,0.308087591874051,0
"15","Medium","Technology gap ratio","AgeCat","Farmer aged
35 or less",-2.49729586910777,0.688229329512952,0.00045
"18","High","Technology gap ratio","AgeCat","Farmer aged
35 or less",3.76242723646497,0.335029603532223,0
"21","Medium","Technology gap ratio","AgeCat","Farmer aged
36 to 59",-5.46493335421429,0.812774434873454,0
"24","High","Technology gap ratio","AgeCat","Farmer aged
36 to 59",2.9256340430481,0.268880361761051,0
"27","Medium","Technology gap ratio","AgeCat","Farmer aged
60 or more",-4.09056062161945,0.739996370966116,0
"30","High","Technology gap ratio","AgeCat","Farmer aged
60 or more",3.4722975949778,0.333459503656129,0
"33","Medium","Technology gap ratio","EduLevel","Farmer with
no formal
education",-0.773057979498315,0.675489459799894,0.25517
"36","High","Technology gap ratio","EduLevel","Farmer with
no formal
education",7.13340070245428,0.445963450775335,0
"39","Medium","Technology gap ratio","EduLevel","Farmer with
primary education",-5.52593185534435,0.793545671907886,0
"42","High","Technology gap ratio","EduLevel","Farmer with
primary education",3.11119736294857,0.299969781874692,0
"45","Medium","Technology gap ratio","EduLevel","Farmer with
junior secondary
school education",-7.10630953872871,0.877741757334742,0
"48","High","Technology gap ratio","EduLevel","Farmer with
junior secondary
school education",-0.20629410947741,0.219076873755519,0.34864
"51","Medium","Technology gap ratio","EduLevel","Farmer with
senior secondary
school education",-7.5492771378698,0.967668583960283,0
"54","High","Technology gap ratio","EduLevel","Farmer with
senior secondary
school education",-0.229729869985865,0.248908400677934,0.35826
"57","Medium","Technology gap ratio","EduLevel","Farmer with
post senior
secondary school
education",-2.9384406940224,0.625080107989004,1e-05
"60","High","Technology gap ratio","EduLevel","Farmer with
post senior
secondary school
education",3.26833910290834,0.245350214654943,0
"2","Medium","Technical efficiency","Female","Female
farmer",12.0205499568844,1.21353759223798,0
"5","High","Technical efficiency","Female","Female
farmer",7.77106221928433,0.318541239633986,0
