"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3","Medium","Technology gap ratio","CROP","Yam",-9.54039490972576,0.570986057555322,0
"6","High","Technology gap ratio","CROP","Yam",0.663473627789808,0.249724131984803,0.00918
"9","Medium","Technology gap ratio","CROP","Cocoa",-6.62304237404802,1.05768069756034,0
"12","High","Technology gap ratio","CROP","Cocoa",0.519592407874677,0.227773406998251,0.02466
"15","Medium","Technology gap ratio","CROP","Millet",6.44095492706391,0.618271664601299,0
"18","High","Technology gap ratio","CROP","Millet",12.5396757611708,0.730265626706621,0
"21","Medium","Technology gap ratio","CROP","Palm",-7.13062699551229,1.09812173118756,0
"24","High","Technology gap ratio","CROP","Palm",5.5298525327801,0.482914908301613,0
"27","Medium","Technology gap ratio","CROP","Cassava",-10.4019567052655,0.828285888633955,0
"30","High","Technology gap ratio","CROP","Cassava",-0.59801558921157,0.211616026698422,0.00569
"33","Medium","Technology gap ratio","CROP","Beans",1.30502093228914,0.569230425723076,0.02397
"36","High","Technology gap ratio","CROP","Beans",11.4593396815619,0.628954869298894,0
"39","Medium","Technology gap ratio","CROP","Plantain",-5.60415322553078,0.703978045583446,0
"42","High","Technology gap ratio","CROP","Plantain",1.21790968891045,0.214535438937713,0
"45","Medium","Technology gap ratio","CROP","Peanut",4.77141285442582,0.516882580894614,0
"48","High","Technology gap ratio","CROP","Peanut",14.4019526768152,0.626515786924195,0
"51","Medium","Technology gap ratio","CROP","Maize",-4.8874450711077,0.779191375490851,0
"54","High","Technology gap ratio","CROP","Maize",2.87864926065831,0.28237459812353,0
"57","Medium","Technology gap ratio","CROP","Cocoyam",-9.85001812240763,0.724906913895062,0
"60","High","Technology gap ratio","CROP","Cocoyam",-0.0876962478534151,0.207573062759441,0.67358
"63","Medium","Technology gap ratio","CROP","Pepper",-6.6885296840118,0.551653003609568,0
"66","High","Technology gap ratio","CROP","Pepper",3.25101029945617,0.272164476262616,0
"69","Medium","Technology gap ratio","CROP","Rice",5.60275894959112,0.560487267032037,0
"72","High","Technology gap ratio","CROP","Rice",12.6643959575897,0.74411606165118,0
"75","Medium","Technology gap ratio","CROP","Sorghum",7.37849460863326,0.521796922436909,0
"78","High","Technology gap ratio","CROP","Sorghum",19.7501351904326,0.827384054145683,0
"81","Medium","Technology gap ratio","CROP","Other",-5.79897833534886,0.698651396673814,0
"84","High","Technology gap ratio","CROP","Other",3.75625338118587,0.28702489747045,0
"87","Medium","Technology gap ratio","CROP","Tomatoe",-2.39760287918336,0.528553515436109,2e-05
"90","High","Technology gap ratio","CROP","Tomatoe",3.22903336897397,0.252506355789426,0
"93","Medium","Technology gap ratio","CROP","Okra",-3.063253158962,0.46853404830693,0
"96","High","Technology gap ratio","CROP","Okra",6.24226512989126,0.317604701044862,0
"2","Medium","Technical efficiency","CROP","Yam",4.48159361522467,0.738715906656913,0
"5","High","Technical efficiency","CROP","Yam",-2.78785322946493,0.496821651385273,0
"8","Medium","Technical efficiency","CROP","Cocoa",10.4606506883059,1.22404505615395,0
"11","High","Technical efficiency","CROP","Cocoa",5.70247554204617,0.24576115525217,0
"14","Medium","Technical efficiency","CROP","Millet",-5.63830661279058,0.596385819106366,0
"17","High","Technical efficiency","CROP","Millet",-5.57165956565684,0.317738423550971,0
"20","Medium","Technical efficiency","CROP","Palm",13.6488239826578,1.72621695695805,0
"23","High","Technical efficiency","CROP","Palm",-1.15065559620569,0.359912382035145,0.00186
"26","Medium","Technical efficiency","CROP","Cassava",18.2151147471327,1.24535228045582,0
"29","High","Technical efficiency","CROP","Cassava",6.4843109264937,0.277058403708586,0
"32","Medium","Technical efficiency","CROP","Beans",0.744521737716906,0.684199116794079,0.27914
"35","High","Technical efficiency","CROP","Beans",1.32347060439842,0.332963615145857,0.00013
"38","Medium","Technical efficiency","CROP","Plantain",13.6022718328677,1.00161500819688,0
"41","High","Technical efficiency","CROP","Plantain",3.86582298936146,0.218216715258173,0
"44","Medium","Technical efficiency","CROP","Peanut",-1.54065872341827,0.65085375920373,0.01985
"47","High","Technical efficiency","CROP","Peanut",-2.37753976593733,0.327019109189622,0
"50","Medium","Technical efficiency","CROP","Maize",10.0329962005238,1.05053959256707,0
"53","High","Technical efficiency","CROP","Maize",3.28355894167341,0.271773647224583,0
"56","Medium","Technical efficiency","CROP","Cocoyam",22.1270488574427,0.926956015829434,0
"59","High","Technical efficiency","CROP","Cocoyam",-0.44951365044157,0.298895399722372,0.13575
"62","Medium","Technical efficiency","CROP","Pepper",15.4816389599292,0.915938675859469,0
"65","High","Technical efficiency","CROP","Pepper",6.99208430946636,0.423247751906731,0
"68","Medium","Technical efficiency","CROP","Rice",0.885914972186693,0.672453198928999,0.1907
"71","High","Technical efficiency","CROP","Rice",0.174564650638086,0.359988239249308,0.6288
"74","Medium","Technical efficiency","CROP","Sorghum",-1.25995744640425,0.590266572377011,0.03524
"77","High","Technical efficiency","CROP","Sorghum",-1.68174856011103,0.345294533076364,0
"80","Medium","Technical efficiency","CROP","Other",15.7598264568589,0.948133410753578,0
"83","High","Technical efficiency","CROP","Other",9.42554348072424,0.287707714417503,0
"86","Medium","Technical efficiency","CROP","Tomatoe",14.2794837247587,0.913879674229955,0
"89","High","Technical efficiency","CROP","Tomatoe",7.36394279741143,0.631133527027111,0
"92","Medium","Technical efficiency","CROP","Okra",15.4574203811692,0.782387207068295,0
"95","High","Technical efficiency","CROP","Okra",11.1419069095361,0.551269659003609,0
"1","Medium","Meta-technical-efficiency","CROP","Yam",-3.82912441993397,0.533479121581651,0
"4","High","Meta-technical-efficiency","CROP","Yam",1.78594480399115,0.681786461974428,0.01018
"7","Medium","Meta-technical-efficiency","CROP","Cocoa",1.79497975264507,0.49426283345407,0.00045
"10","High","Meta-technical-efficiency","CROP","Cocoa",6.39466956475404,0.139918913812021,0
"13","Medium","Meta-technical-efficiency","CROP","Millet",2.57478720822102,0.428991092563868,0
"16","High","Meta-technical-efficiency","CROP","Millet",8.54417549942499,0.702538343065155,0
"19","Medium","Meta-technical-efficiency","CROP","Palm",3.41574148307901,0.509833415513753,0
