"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3","Medium","Technology gap ratio","Region","Northern",11.1837644207909,0.417883739823372,0
"6","High","Technology gap ratio","Region","Northern",14.5574100678101,0.678771021127661,0
"9","Medium","Technology gap ratio","Region","Brong Ahafo",-16.3747941749494,0.855410499761982,0
"12","High","Technology gap ratio","Region","Brong Ahafo",-5.97546334529671,0.355268575994588,0
"15","Medium","Technology gap ratio","Region","Greater Accra",6.13323248752252,1.33881862252652,1e-05
"18","High","Technology gap ratio","Region","Greater Accra",17.425981071293,0.781667985550888,0
"21","Medium","Technology gap ratio","Region","Eastern",-8.36278706043328,0.699829480020884,0
"24","High","Technology gap ratio","Region","Eastern",-3.66100042002817,0.247096712668026,0
"27","Medium","Technology gap ratio","Region","Western",-5.77945890803437,1.06004666212058,0
"30","High","Technology gap ratio","Region","Western",0.188743839191536,0.2001971974815,0.34806
"33","Medium","Technology gap ratio","Region","Ashanti",-11.9142117004157,1.01150447998599,0
"36","High","Technology gap ratio","Region","Ashanti",-2.98558743607538,0.243460540262269,0
"39","Medium","Technology gap ratio","Region","Upper West",1.61019331231471,0.649335137488029,0.01482
"42","High","Technology gap ratio","Region","Upper West",8.12854298429635,0.552198591502289,0
"45","Medium","Technology gap ratio","Region","Upper East",6.70670249509129,0.711399938579698,0
"48","High","Technology gap ratio","Region","Upper East",12.0906344878666,0.923272437109924,0
"51","Medium","Technology gap ratio","Region","Central",-5.80758653195772,1.48479943898434,0.00017
"54","High","Technology gap ratio","Region","Central",7.33958983031474,0.602891142425246,0
"57","Medium","Technology gap ratio","Region","Volta",-13.9619104434671,1.03953001097591,0
"60","High","Technology gap ratio","Region","Volta",1.68493270031191,0.209037613098351,0
"2","Medium","Technical efficiency","Region","Northern",-15.875160016714,0.41918980928705,0
"5","High","Technical efficiency","Region","Northern",-12.8866670770165,0.461346308398945,0
"8","Medium","Technical efficiency","Region","Brong Ahafo",17.710274357583,1.17170949704786,0
"11","High","Technical efficiency","Region","Brong Ahafo",-8.49435694102859,0.287490755875438,0
"14","Medium","Technical efficiency","Region","Greater Accra",-3.90736093846714,2.01814952283364,0.05568
"17","High","Technical efficiency","Region","Greater Accra",-10.8906594802191,0.326014303708687,0
"20","Medium","Technical efficiency","Region","Eastern",12.1055392326796,0.845872242924913,0
"23","High","Technical efficiency","Region","Eastern",9.61551826702318,0.245063260255261,0
"26","Medium","Technical efficiency","Region","Western",7.9653997873935,0.912300608792941,0
"29","High","Technical efficiency","Region","Western",2.8909480286028,0.241601145924749,0
"32","Medium","Technical efficiency","Region","Ashanti",18.4528057666737,1.21057089825009,0
"35","High","Technical efficiency","Region","Ashanti",4.58002056606505,0.258327623351113,0
"38","Medium","Technical efficiency","Region","Upper West",-1.12311860263689,0.738463333654584,0.13144
"41","High","Technical efficiency","Region","Upper West",-1.07168837110054,0.423331129625689,0.01291
"44","Medium","Technical efficiency","Region","Upper East",-3.60289985772408,0.694258891265434,0
"47","High","Technical efficiency","Region","Upper East",-4.96258023816987,0.420116740517387,0
"50","Medium","Technical efficiency","Region","Central",16.4702917267529,3.16089652342103,0
"53","High","Technical efficiency","Region","Central",11.6210418534444,0.520885748764879,0
"56","Medium","Technical efficiency","Region","Volta",32.8147517868221,2.12942802018207,0
"59","High","Technical efficiency","Region","Volta",10.9623709896702,0.323520469387542,0
"1","Medium","Meta-technical-efficiency","Region","Northern",-5.22485273220546,0.373304320765403,0
"4","High","Meta-technical-efficiency","Region","Northern",0.945434608146989,0.648405844016706,0.14795
"7","Medium","Meta-technical-efficiency","Region","Brong Ahafo",-3.27164359767659,0.401872590582547,0
"10","High","Meta-technical-efficiency","Region","Brong Ahafo",-12.8948978149899,0.33458979646949,0
"13","Medium","Meta-technical-efficiency","Region","Greater Accra",0.371125588847711,0.64769610224427,0.56794
"16","High","Meta-technical-efficiency","Region","Greater Accra",6.50966232961941,0.6233226737707,0
"19","Medium","Meta-technical-efficiency","Region","Eastern",0.608746095687506,0.366955784696741,0.10027
"22","High","Meta-technical-efficiency","Region","Eastern",5.50525713666359,0.187621055456781,0
"25","Medium","Meta-technical-efficiency","Region","Western",1.00154893112657,0.607381371065565,0.10229
"28","High","Meta-technical-efficiency","Region","Western",3.06482847112515,0.165768410551621,0
"31","Medium","Meta-technical-efficiency","Region","Ashanti",1.59344286737779,0.516777157951571,0.00265
"34","High","Meta-technical-efficiency","Region","Ashanti",0.957241548083412,0.22815701651306,6e-05
"37","Medium","Meta-technical-efficiency","Region","Upper West",3.03505895070179,0.310887676087308,0
"40","High","Meta-technical-efficiency","Region","Upper West",9.62762793560178,0.512121196825921,0
"43","Medium","Meta-technical-efficiency","Region","Upper East",4.82875003091122,0.470462757871102,0
"46","High","Meta-technical-efficiency","Region","Upper East",8.53905583525444,0.767243665917233,0
"49","Medium","Meta-technical-efficiency","Region","Central",8.57849933130322,0.512930580915853,0
"52","High","Meta-technical-efficiency","Region","Central",22.6805996040643,0.695708215503216,0
"55","Medium","Meta-technical-efficiency","Region","Volta",10.7605884090708,0.497955838455464,0
"58","High","Meta-technical-efficiency","Region","Volta",14.8678272823589,0.380715914414352,0
