"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","Female","Female
farmer",-13.5638302583652,8.83433299632182,0.12785
"6",2,"Technology gap ratio","Female","Male
farmer",-13.0663627081071,4.86093394734523,0.00842
"9",2,"Technology gap ratio","AgeCat","Farmer aged
35 or less",-13.6799909821154,5.9124766260023,0.02273
"12",2,"Technology gap ratio","AgeCat","Farmer aged
36 to 59",-12.8235344357358,6.40860682600732,0.0481
"15",2,"Technology gap ratio","AgeCat","Farmer aged
60 or more",-13.6973053210345,5.40182630385966,0.01277
"18",2,"Technology gap ratio","EduLevel","Farmer with
no formal
education",-13.5422289410853,3.63217380661786,0.00032
"21",2,"Technology gap ratio","EduLevel","Farmer with
primary education",-12.7840061043204,7.29075654735417,0.08259
"24",2,"Technology gap ratio","EduLevel","Farmer with
junior secondary
school education",-12.7361725876614,10.0272405997629,0.20698
"27",2,"Technology gap ratio","EduLevel","Farmer with
senior secondary
school education",-13.3246781663271,9.93701776892363,0.18299
"30",2,"Technology gap ratio","EduLevel","Farmer with
post senior
secondary school
education",-12.6306249478345,8.18449319106293,0.12593
"2",2,"Technical efficiency","Female","Female
farmer",1.17993857614839,5.46550715640196,0.82951
"5",2,"Technical efficiency","Female","Male
farmer",0.617435607288765,3.36528552791497,0.8548
"8",2,"Technical efficiency","AgeCat","Farmer aged
35 or less",0.355147170966069,2.46636519676979,0.88579
"11",2,"Technical efficiency","AgeCat","Farmer aged
36 to 59",1.65005040526817,4.62183795698091,0.72184
"14",2,"Technical efficiency","AgeCat","Farmer aged
60 or more",0.202402679209636,3.87290338163709,0.95842
"17",2,"Technical efficiency","EduLevel","Farmer with
no formal
education",-1.32776430689543,1.93519817049019,0.49423
"20",2,"Technical efficiency","EduLevel","Farmer with
primary education",0.312116921234011,5.35491899486193,0.95364
"23",2,"Technical efficiency","EduLevel","Farmer with
junior secondary
school education",4.41710935133124,8.15095899092555,0.58908
"26",2,"Technical efficiency","EduLevel","Farmer with
senior secondary
school education",4.48904310396362,7.97338691270266,0.57469
"29",2,"Technical efficiency","EduLevel","Farmer with
post senior
secondary school
education",-5.95531116458755,5.58376076918011,0.28875
"1",2,"Meta-technical-efficiency","Female","Female
farmer",-13.9337094385101,2.20306007620128,0
"4",2,"Meta-technical-efficiency","Female","Male
farmer",-13.4702411036982,1.17817903152916,0
"7",2,"Meta-technical-efficiency","AgeCat","Farmer aged
35 or less",-14.3148305652417,2.99902937881596,1e-05
"10",2,"Meta-technical-efficiency","AgeCat","Farmer aged
36 to 59",-12.5309037897137,1.06865752291254,0
"13",2,"Meta-technical-efficiency","AgeCat","Farmer aged
60 or more",-14.5389091389367,1.01590743747099,0
"16",2,"Meta-technical-efficiency","EduLevel","Farmer with
no formal
education",-15.580735020498,1.46503871549808,0
"19",2,"Meta-technical-efficiency","EduLevel","Farmer with
primary education",-13.7727889890355,1.02341057397722,0
"22",2,"Meta-technical-efficiency","EduLevel","Farmer with
junior secondary
school education",-10.2971547827367,0.99738836952817,0
"25",2,"Meta-technical-efficiency","EduLevel","Farmer with
senior secondary
school education",-10.6043201947606,1.48984045498082,0
"28",2,"Meta-technical-efficiency","EduLevel","Farmer with
post senior
secondary school
education",-18.8111515050433,1.63107071955724,0
