"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","CROP","Okra",-20.6661412773582,5.68798162370294,0.00044
"6",2,"Technology gap ratio","CROP","Pepper",-17.9821492979656,6.14147698743414,0.00422
"9",2,"Technology gap ratio","CROP","Cocoyam",-17.73130554486,9.79701480499419,0.07332
"12",2,"Technology gap ratio","CROP","Beans",-16.801505309735,1.94141452677328,0
"15",2,"Technology gap ratio","CROP","Rice",-16.457618948675,1.98934596484829,0
"18",2,"Technology gap ratio","CROP","Sorghum",-15.7949938044323,1.68662862300484,0
"21",2,"Technology gap ratio","CROP","Palm",-29.5406676249519,6.27477773238269,1e-05
"24",2,"Technology gap ratio","CROP","Other",-16.0301149580451,4.19381422692257,0.00023
"27",2,"Technology gap ratio","CROP","Millet",-14.3784236140702,1.46319906431261,0
"30",2,"Technology gap ratio","CROP","Yam",-11.6191550788909,4.91118703061189,0.01992
"33",2,"Technology gap ratio","CROP","Peanut",-10.617456328002,1.51581384187353,0
"36",2,"Technology gap ratio","CROP","Plantain",-14.5233697238003,9.68626767946172,0.13693
"39",2,"Technology gap ratio","CROP","Tomatoe",-17.0875355617616,9.29048853001184,0.06885
"42",2,"Technology gap ratio","CROP","Cassava",-10.7652313926477,8.82699845879254,0.22549
"45",2,"Technology gap ratio","CROP","Maize",-10.8895339084315,4.13912924754548,0.00986
"48",2,"Technology gap ratio","CROP","Cocoa",-10.3317350580252,10.4769114530076,0.32644
"2",2,"Technical efficiency","CROP","Okra",-1.93251037015351,4.07077229327365,0.63602
"5",2,"Technical efficiency","CROP","Pepper",-2.33647734012644,5.61202223025692,0.67806
"8",2,"Technical efficiency","CROP","Cocoyam",-0.589308330555659,10.7662092072477,0.95646
"11",2,"Technical efficiency","CROP","Beans",-2.40265190826187,0.439143116571955,0
"14",2,"Technical efficiency","CROP","Rice",-0.444655792336371,0.687361020453383,0.51918
"17",2,"Technical efficiency","CROP","Sorghum",0.078556341291559,0.0985348461547618,0.4272
"20",2,"Technical efficiency","CROP","Palm",21.6929160613621,12.2088710012153,0.07864
"23",2,"Technical efficiency","CROP","Other",1.33335756460994,4.29636360679407,0.75694
"26",2,"Technical efficiency","CROP","Millet",-0.74417092641789,0.0670560464934645,0
"29",2,"Technical efficiency","CROP","Yam",-0.462721157289857,4.75331156028781,0.92265
"32",2,"Technical efficiency","CROP","Peanut",-1.90272578392101,0.937058429127926,0.04496
"35",2,"Technical efficiency","CROP","Plantain",3.80715632016672,11.3248330551666,0.73744
"38",2,"Technical efficiency","CROP","Tomatoe",5.47798134265008,9.52048963496755,0.56632
"41",2,"Technical efficiency","CROP","Cassava",0.467385693378959,9.8966032866559,0.96243
"44",2,"Technical efficiency","CROP","Maize",0.635679497123462,3.54800182994609,0.85817
"47",2,"Technical efficiency","CROP","Cocoa",5.21356730113382,10.1981906830004,0.61032
"1",2,"Meta-technical-efficiency","CROP","Okra",-22.8419848845493,1.66332340350806,0
"4",2,"Meta-technical-efficiency","CROP","Pepper",-20.5338220287073,0.705928078801431,0
"7",2,"Meta-technical-efficiency","CROP","Cocoyam",-19.6344262665227,1.29361978860984,0
"10",2,"Meta-technical-efficiency","CROP","Beans",-19.0604137736089,1.62621139044628,0
"13",2,"Meta-technical-efficiency","CROP","Rice",-17.1549574281012,1.60138794388049,0
"16",2,"Meta-technical-efficiency","CROP","Sorghum",-15.8777830498752,1.63713678458859,0
"19",2,"Meta-technical-efficiency","CROP","Palm",-15.5099969258813,2.87948172615368,0
"22",2,"Meta-technical-efficiency","CROP","Other",-15.5042284349165,0.943476930874162,0
"25",2,"Meta-technical-efficiency","CROP","Millet",-15.1208295681013,1.44824185024962,0
"28",2,"Meta-technical-efficiency","CROP","Yam",-13.2144486583655,0.876900853244324,0
"31",2,"Meta-technical-efficiency","CROP","Peanut",-13.0686663849038,0.971019919042603,0
"34",2,"Meta-technical-efficiency","CROP","Plantain",-12.3650577251366,1.9188753004356,0
"37",2,"Meta-technical-efficiency","CROP","Tomatoe",-12.0226477290331,1.22398683690535,0
"40",2,"Meta-technical-efficiency","CROP","Cassava",-11.7900242260613,1.85363710427391,0
"43",2,"Meta-technical-efficiency","CROP","Maize",-11.2668015001174,0.549106669444361,0
"46",2,"Meta-technical-efficiency","CROP","Cocoa",-7.1623648060294,0.952941523323498,0
