"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","Region","Upper East",-17.5515852873665,3.49220606161632,0
"6",2,"Technology gap ratio","Region","Upper West",-14.5490509867206,1.89383433384004,0
"9",2,"Technology gap ratio","Region","Northern",-14.5463418168405,1.93883631744787,0
"12",2,"Technology gap ratio","Region","Western",-16.3096578636195,9.31182927721395,0.08293
"15",2,"Technology gap ratio","Region","Central",-12.2427629434079,6.94511127097692,0.08099
"18",2,"Technology gap ratio","Region","Greater Accra",-6.71762251183597,3.11436058444459,0.0334
"21",2,"Technology gap ratio","Region","Eastern",-14.9554437796849,13.0223843671548,0.25353
"24",2,"Technology gap ratio","Region","Brong Ahafo",-4.7098560988538,9.99094981927885,0.63837
"27",2,"Technology gap ratio","Region","Volta",-8.0964059339574,12.7207623156279,0.52592
"30",2,"Technology gap ratio","Region","Ashanti",-9.86209100641663,10.5006260422015,0.3499
"2",2,"Technical efficiency","Region","Upper East",9.52571355128475e-12,8.94931902926738e-06,1
"5",2,"Technical efficiency","Region","Upper West",6.12510042686074e-11,8.87123944472309e-06,0.99999
"8",2,"Technical efficiency","Region","Northern",2.21034301973111e-10,1.89873541887962e-06,0.99991
"11",2,"Technical efficiency","Region","Western",5.93625607364744,8.66144467442696,0.4947
"14",2,"Technical efficiency","Region","Central",2.13417166980931,9.37118900641882,0.82032
"17",2,"Technical efficiency","Region","Greater Accra",-3.01684370412247,6.39006318939169,0.63787
"20",2,"Technical efficiency","Region","Eastern",6.11868912966171,10.2253702490648,0.55094
"23",2,"Technical efficiency","Region","Brong Ahafo",-3.24750518087173,7.95933662837558,0.68414
"26",2,"Technical efficiency","Region","Volta",0.492753371192956,11.4081209077535,0.96563
"29",2,"Technical efficiency","Region","Ashanti",2.30524797528719,9.98038828829649,0.8178
"1",2,"Meta-technical-efficiency","Region","Upper East",-17.5515852873586,3.49220438271451,0
"4",2,"Meta-technical-efficiency","Region","Upper West",-14.549050986668,1.89383312670192,0
"7",2,"Meta-technical-efficiency","Region","Northern",-14.5463418166511,1.9388359913285,0
"10",2,"Meta-technical-efficiency","Region","Western",-12.0243995766117,1.15225132473418,0
"13",2,"Meta-technical-efficiency","Region","Central",-11.6536813498588,2.36786934047211,0
"16",2,"Meta-technical-efficiency","Region","Greater Accra",-11.6288893506798,2.41794457507916,1e-05
"19",2,"Meta-technical-efficiency","Region","Eastern",-11.4594252233002,2.66242707563207,4e-05
"22",2,"Meta-technical-efficiency","Region","Brong Ahafo",-9.7882259354772,0.940295154321137,0
"25",2,"Meta-technical-efficiency","Region","Volta",-9.27172654442794,1.38845595815429,0
"28",2,"Meta-technical-efficiency","Region","Ashanti",-8.45167676906031,1.081911558568,0
