"","method","distance","link","outcome","level","est","jack_n","jack_mean","jack_se","jack_tvl","jack_pvl","outC"
"426","nearest","glm","cloglog","FertKg","non-Disabled sample",-48.8657080725554,101,-48.4954747141105,5.66077249396831,-8.56693583177624,1.4432899320127e-13,"Fertilizer (Kg/ha)"
"399","nearest","glm","cloglog","SeedKg","non-Disabled sample",-48.1006315865992,101,-50.3256881253469,3.13832998441492,-16.0358178952712,0,"Planting materials (real value)"
"424","nearest","glm","cloglog","FertKg","Full sample",-46.025376569185,101,-45.9694130929464,4.32242572979044,-10.6350961165445,0,"Fertilizer (Kg/ha)"
"397","nearest","glm","cloglog","SeedKg","Full sample",-45.5975899172639,101,-47.8808759607729,2.74903710448192,-17.4173261913089,0,"Planting materials (real value)"
"425","nearest","glm","cloglog","FertKg","Disabled sample",-43.1215939693779,101,-43.3416857644785,3.67504354506364,-11.7935162489967,0,"Fertilizer (Kg/ha)"
"398","nearest","glm","cloglog","SeedKg","Disabled sample",-42.921176304534,101,-45.3043498632874,3.46309880372707,-13.0820263674053,0,"Planting materials (real value)"
"435","nearest","glm","cloglog","PestLt","non-Disabled sample",-41.090315054298,101,-42.5337554029193,3.45716088419586,-12.3030882355979,0,"Pesticide (Liter/ha)"
"433","nearest","glm","cloglog","PestLt","Full sample",-38.6232075278004,101,-40.3992056917715,2.73126478396225,-14.7913911272873,0,"Pesticide (Liter/ha)"
"434","nearest","glm","cloglog","PestLt","Disabled sample",-36.1066664430856,101,-38.1935582571853,2.581724705374,-14.7938152265744,0,"Pesticide (Liter/ha)"
"417","nearest","glm","cloglog","HirdHr","non-Disabled sample",-30.4328546478995,101,-27.4001896535773,4.28130782564365,-6.39995785620903,5.20996534802975e-09,"Hired labor (man-days/ha)"
"415","nearest","glm","cloglog","HirdHr","Full sample",-28.3868896420463,101,-27.2114289317857,4.19975050903257,-6.47929653755884,3.6050482599137e-09,"Hired labor (man-days/ha)"
"416","nearest","glm","cloglog","HirdHr","Disabled sample",-26.265545944047,101,-27.0139635199092,4.44059678812757,-6.08340833649524,2.22508529379439e-08,"Hired labor (man-days/ha)"
"381","nearest","glm","cloglog","HrvstKg","non-Disabled sample",-4.49452360063438,101,-6.45212460670771,2.4668230874738,-2.6155603291824,0.0103015056537274,"Output (real value)"
"379","nearest","glm","cloglog","HrvstKg","Full sample",-3.80146147281035,101,-5.55739134245591,2.79954814569642,-1.98510297134878,0.049899752017649,"Output (real value)"
"380","nearest","glm","cloglog","HrvstKg","Disabled sample",-3.10596404778226,101,-4.65142908038849,3.27799429977242,-1.41898632365268,0.159043746048981,"Output (real value)"
"389","nearest","glm","cloglog","Area","Disabled sample",-2.489765583001,101,-2.75100640258268,2.48209533761907,-1.10834034490454,0.270400227905667,"Land (ha)"
"388","nearest","glm","cloglog","Area","Full sample",-2.14013851004493,101,-2.01590886498241,2.1593028285368,-0.933592471764806,0.352785594301086,"Land (ha)"
"390","nearest","glm","cloglog","Area","non-Disabled sample",-1.7945383747153,101,-1.28983092825683,1.98474699983936,-0.649871710782896,0.517280214634225,"Land (ha)"
"407","nearest","glm","cloglog","HHLaborAE","Disabled sample",6.88440000904008,101,7.21109166622043,1.99415233409795,3.61611876029639,0.000472615490276329,"Household labor (AE)"
"406","nearest","glm","cloglog","HHLaborAE","Full sample",7.18133701558472,101,7.13375033670671,1.83715476775537,3.88304266026683,0.00018628052479519,"Household labor (AE)"
"408","nearest","glm","cloglog","HHLaborAE","non-Disabled sample",7.47891674578459,101,7.05820311834193,1.84646149282053,3.82255635754435,0.000230892919969028,"Household labor (AE)"
