"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","Female","Female
farmer",-24.2455591962239,0.341523574011425,0
"6",2,"Technology gap ratio","Female","Male
farmer",-9.36325143942168,1.46540091301628,0
"9",2,"Technology gap ratio","AgeCat","Farmer aged
35 or less",-3.81542683612697,1.53348606010372,0.0145
"12",2,"Technology gap ratio","AgeCat","Farmer aged
36 to 59",-15.4211934469826,0.973147435864011,0
"15",2,"Technology gap ratio","AgeCat","Farmer aged
60 or more",-24.4280503632872,0.543690985140141,0
"2",2,"Technical efficiency","Female","Female
farmer",23.0066583922523,0.467730212633114,0
"5",2,"Technical efficiency","Female","Male
farmer",8.59823383343313,0.539739350839034,0
"8",2,"Technical efficiency","AgeCat","Farmer aged
35 or less",8.03627299091916,0.53943364167958,0
"11",2,"Technical efficiency","AgeCat","Farmer aged
36 to 59",10.2492099562511,0.489363261571155,0
"14",2,"Technical efficiency","AgeCat","Farmer aged
60 or more",13.1925166739405,1.00712411227853,0
"1",2,"Meta-technical-efficiency","Female","Female
farmer",-7.68004351112556,0.440613755297632,0
"4",2,"Meta-technical-efficiency","Female","Male
farmer",-1.75301809605493,1.57903558244215,0.26958
"7",2,"Meta-technical-efficiency","AgeCat","Farmer aged
35 or less",2.9555926895823,1.97480327146357,0.13763
"10",2,"Meta-technical-efficiency","AgeCat","Farmer aged
36 to 59",-6.6575429901303,1.19317862908963,0
"13",2,"Meta-technical-efficiency","AgeCat","Farmer aged
60 or more",-14.5773953370042,0.468733187371583,0
