"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","CROP","Cassava",-35.0731301408079,2.43421992413167,0
"6",2,"Technology gap ratio","CROP","Pepper",-22.1487500728548,1.00334349055409,0
"9",2,"Technology gap ratio","CROP","Other",-15.0824740972646,1.98260610497051,0
"12",2,"Technology gap ratio","CROP","Maize",-12.9154428704455,1.13845457476682,0
"15",2,"Technology gap ratio","CROP","Yam",-14.2184487891543,0.989454115231696,0
"18",2,"Technology gap ratio","CROP","Cocoyam",-39.0868236176079,3.41530954088133,0
"21",2,"Technology gap ratio","CROP","Plantain",-36.0324495078163,3.72619894688484,0
"24",2,"Technology gap ratio","CROP","Cocoa",-32.235674148694,0.312908954598989,0
"27",2,"Technology gap ratio","CROP","Okra",-7.75770259408032,1.43346298905959,0
"30",2,"Technology gap ratio","CROP","Sorghum",0.256350049236274,2.1630341976721,0.9059
"33",2,"Technology gap ratio","CROP","Peanut",-1.70011213834222,1.68319116542402,0.31491
"36",2,"Technology gap ratio","CROP","Millet",0.103109263638063,2.03635557103285,0.95972
"39",2,"Technology gap ratio","CROP","Rice",-0.0273834692791149,1.96678097352161,0.98892
"42",2,"Technology gap ratio","CROP","Beans",0.0628408706577828,1.97850951295307,0.97473
"45",2,"Technology gap ratio","CROP","Palm",-32.8086508587238,5.43541755017102,0
"48",2,"Technology gap ratio","CROP","Tomatoe",-8.75243287056006,2.33983174506948,0.00031
"2",2,"Technical efficiency","CROP","Cassava",38.8662263494789,1.87091804111301,0
"5",2,"Technical efficiency","CROP","Pepper",25.3327801206157,0.946841913326949,0
"8",2,"Technical efficiency","CROP","Other",12.4377478855379,0.646434742712642,0
"11",2,"Technical efficiency","CROP","Maize",8.71982161662065,0.448528983877768,0
"14",2,"Technical efficiency","CROP","Yam",12.5423994945445,0.519367908242199,0
"17",2,"Technical efficiency","CROP","Cocoyam",59.2171679551816,2.56929467498579,0
"20",2,"Technical efficiency","CROP","Plantain",54.8694231623332,2.91650410831627,0
"23",2,"Technical efficiency","CROP","Cocoa",45.4463050065302,2.30143559850798,0
"26",2,"Technical efficiency","CROP","Okra",14.7030236457976,0.426593749513175,0
"29",2,"Technical efficiency","CROP","Sorghum",4.00882337908345,0.403707361691159,0
"32",2,"Technical efficiency","CROP","Peanut",6.86445765416658,0.444956257105051,0
"35",2,"Technical efficiency","CROP","Millet",5.17395581212976,0.513062738494181,0
"38",2,"Technical efficiency","CROP","Rice",6.18019873861124,0.507992179860656,0
"41",2,"Technical efficiency","CROP","Beans",6.31555785554566,0.482190325956418,0
"44",2,"Technical efficiency","CROP","Palm",63.1459844544935,3.61335448513506,0
"47",2,"Technical efficiency","CROP","Tomatoe",38.1700924044676,1.16515068512552,0
"1",2,"Meta-technical-efficiency","CROP","Cassava",-12.3287492554131,1.81278466728646,0
"4",2,"Meta-technical-efficiency","CROP","Pepper",-6.07391071753027,0.433789766609596,0
"7",2,"Meta-technical-efficiency","CROP","Other",-5.65949631323026,1.77148214757616,0.00187
"10",2,"Meta-technical-efficiency","CROP","Maize",-4.79029869446622,1.37797917444182,0.00075
"13",2,"Meta-technical-efficiency","CROP","Yam",-4.24944465145542,0.98325399688583,4e-05
"16",2,"Meta-technical-efficiency","CROP","Cocoyam",-4.14190797336886,4.26651562098793,0.33399
"19",2,"Meta-technical-efficiency","CROP","Plantain",-2.02344946569087,4.05290401193138,0.61869
"22",2,"Meta-technical-efficiency","CROP","Cocoa",0.0437494193123442,0.362994767535896,0.90431
"25",2,"Meta-technical-efficiency","CROP","Okra",2.03739380113117,1.14023214340856,0.077
"28",2,"Meta-technical-efficiency","CROP","Sorghum",4.07858103071527,2.40693611780362,0.09328
"31",2,"Meta-technical-efficiency","CROP","Peanut",4.66649651913803,2.0497429540429,0.02494
"34",2,"Meta-technical-efficiency","CROP","Millet",5.11401488429109,2.33580726575208,0.03089
"37",2,"Meta-technical-efficiency","CROP","Rice",5.51266469179192,2.23257863918042,0.01524
"40",2,"Meta-technical-efficiency","CROP","Beans",6.038602437734,2.20826251724932,0.00739
"43",2,"Meta-technical-efficiency","CROP","Palm",15.7507680637515,6.54811334640188,0.01799
"46",2,"Meta-technical-efficiency","CROP","Tomatoe",19.3520060824012,1.627423479189,0
