"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","Region","Ashanti",-37.1414362588773,1.09819031464388,0
"6",2,"Technology gap ratio","Region","Greater Accra",-43.384305441628,1.77432749458092,0
"9",2,"Technology gap ratio","Region","Brong Ahafo",-32.218414073639,0.297495691656053,0
"12",2,"Technology gap ratio","Region","Central",-39.0006713654753,1.09777830645548,0
"15",2,"Technology gap ratio","Region","Eastern",-31.6998935894618,0.971506358071232,0
"18",2,"Technology gap ratio","Region","Volta",-38.5812777041479,2.30815463723453,0
"21",2,"Technology gap ratio","Region","Northern",-3.22959436985221e-09,0.235121554203548,1
"24",2,"Technology gap ratio","Region","Upper West",-1.01101016459571e-08,1.78624289834346,1
"27",2,"Technology gap ratio","Region","Western",-27.7217483911144,1.48917986519606,0
"30",2,"Technology gap ratio","Region","Upper East",-1.10078279839919e-08,1.9460162608165,1
"2",2,"Technical efficiency","Region","Ashanti",47.1081998106764,2.44858939398481,0
"5",2,"Technical efficiency","Region","Greater Accra",60.0234682804257,2.21327525836286,0
"8",2,"Technical efficiency","Region","Brong Ahafo",36.9947583720664,1.54575940547563,0
"11",2,"Technical efficiency","Region","Central",53.9004161044526,3.11553074595126,0
"14",2,"Technical efficiency","Region","Eastern",37.0377804767646,1.23876009038417,0
"17",2,"Technical efficiency","Region","Volta",63.4057598584764,0.942346006658978,0
"20",2,"Technical efficiency","Region","Northern",0.476791479992366,1.40724382589136,0.73546
"23",2,"Technical efficiency","Region","Upper West",3.78571808705287,0.474592189580553,0
"26",2,"Technical efficiency","Region","Western",46.7617456594771,1.84789583612036,0
"29",2,"Technical efficiency","Region","Upper East",6.7262956644732,0.699311455794896,0
"1",2,"Meta-technical-efficiency","Region","Ashanti",-8.6587287066611,0.476453975938892,0
"4",2,"Meta-technical-efficiency","Region","Greater Accra",-8.45829777435523,0.927322287410072,0
"7",2,"Meta-technical-efficiency","Region","Brong Ahafo",-7.60151991547653,0.444565852601902,0
"10",2,"Meta-technical-efficiency","Region","Central",-6.25472461170953,0.398138771739614,0
"13",2,"Meta-technical-efficiency","Region","Eastern",-4.42318607527501,1.42024097673135,0.0024
"16",2,"Meta-technical-efficiency","Region","Volta",-3.00212169321966,4.2706620298207,0.48371
"19",2,"Meta-technical-efficiency","Region","Northern",0.476791476701985,1.60004077023747,0.76633
"22",2,"Meta-technical-efficiency","Region","Upper West",3.78571807648843,2.0983605020034,0.07422
"25",2,"Meta-technical-efficiency","Region","Western",5.91762416358767,1.42911626173688,7e-05
"28",2,"Meta-technical-efficiency","Region","Upper East",6.72629565281183,2.12308419483136,0.00204
