"","method","distance","link","outcome","level","est","jack_n","jack_mean","jack_se","jack_tvl","jack_pvl","outC"
"434","nearest","glm","cloglog","PestLt","No extension sample",-45.2544153178693,101,-43.252921817889,2.17923477298105,-19.8477568154448,0,"Pesticide (Liter/ha)"
"433","nearest","glm","cloglog","PestLt","Full sample",-43.7115983685339,101,-42.1317328099593,1.99934685866649,-21.0727481463922,0,"Pesticide (Liter/ha)"
"416","nearest","glm","cloglog","HirdHr","No extension sample",-41.9007946850046,101,-39.7135493416371,2.87271351189252,-13.8244030172971,0,"Hired labor (man-days/ha)"
"435","nearest","glm","cloglog","PestLt","some extension sample",-41.8358865842659,101,-40.8075844027443,1.94739748175853,-20.9549333328164,0,"Pesticide (Liter/ha)"
"415","nearest","glm","cloglog","HirdHr","Full sample",-40.5458597912508,101,-39.158714738139,2.59846319857048,-15.0699516389848,0,"Hired labor (man-days/ha)"
"417","nearest","glm","cloglog","HirdHr","some extension sample",-38.91776289191,101,-38.511750440235,2.48063041527958,-15.5249851824035,0,"Hired labor (man-days/ha)"
"426","nearest","glm","cloglog","FertKg","some extension sample",-35.9714390304522,101,-38.1440107929527,2.17544711850932,-17.5338717583217,0,"Fertilizer (Kg/ha)"
"424","nearest","glm","cloglog","FertKg","Full sample",-35.0877150425535,101,-37.2357794484849,2.3075777116504,-16.1363057289427,0,"Fertilizer (Kg/ha)"
"425","nearest","glm","cloglog","FertKg","No extension sample",-34.2128041948417,101,-36.3531771152079,2.67579337461627,-13.5859433168756,0,"Fertilizer (Kg/ha)"
"399","nearest","glm","cloglog","SeedKg","some extension sample",-28.9612903157797,101,-29.4925153327124,1.99904010030958,-14.7533385288995,0,"Planting materials (real value)"
"397","nearest","glm","cloglog","SeedKg","Full sample",-28.5096448369706,101,-29.2643662366254,2.02487844038677,-14.4524064521303,0,"Planting materials (real value)"
"398","nearest","glm","cloglog","SeedKg","No extension sample",-28.1075486444483,101,-29.0554326425432,2.17631730646661,-13.3507336251976,0,"Planting materials (real value)"
"408","nearest","glm","cloglog","HHLaborAE","some extension sample",3.00354056600378,101,1.74095650314692,1.08859221256187,1.59927333950864,0.112946588795549,"Household labor (AE)"
"406","nearest","glm","cloglog","HHLaborAE","Full sample",4.01174865410309,101,2.44542505601753,1.01018375779525,2.42077249524851,0.0173095780186743,"Household labor (AE)"
"389","nearest","glm","cloglog","Area","No extension sample",4.19406208568733,101,5.33478088438336,0.778299775943102,6.85440372627495,6.18826545562001e-10,"Land (ha)"
"407","nearest","glm","cloglog","HHLaborAE","No extension sample",4.93163834248906,101,3.08783269920892,1.01312938584638,3.04781673727618,0.00295594091125695,"Household labor (AE)"
"388","nearest","glm","cloglog","Area","Full sample",6.25859193223628,101,7.05023908239531,0.801681415788864,8.79431522739963,4.64073224293315e-14,"Land (ha)"
"381","nearest","glm","cloglog","HrvstKg","some extension sample",7.1781147828818,101,4.85117091190463,1.21796953048296,3.98299858123793,0.000130033456784862,"Output (real value)"
"379","nearest","glm","cloglog","HrvstKg","Full sample",7.43234673365096,101,5.86413899608284,1.16140443328328,5.04917910422037,2.02339114285799e-06,"Output (real value)"
"380","nearest","glm","cloglog","HrvstKg","No extension sample",7.66336017567757,101,6.78299444041682,1.27610493684202,5.31538923217609,6.58683596110876e-07,"Output (real value)"
"390","nearest","glm","cloglog","Area","some extension sample",8.54417406869678,101,8.94985915349067,0.917902858891051,9.75033367289355,4.44089209850063e-16,"Land (ha)"
