"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","Female","Female
farmer",27.261723724168,10.534849285289,0.0111
"6",2,"Technology gap ratio","Female","Male
farmer",24.3564042112321,9.49544016644404,0.0118
"9",2,"Technology gap ratio","AgeCat","Farmer aged
35 or less",28.7317125593038,8.3709231216012,0.00087
"12",2,"Technology gap ratio","AgeCat","Farmer aged
36 to 59",26.3535069151941,10.6851345817195,0.01535
"15",2,"Technology gap ratio","AgeCat","Farmer aged
60 or more",19.5377818339819,8.9721102483091,0.03179
"18",2,"Technology gap ratio","EduLevel","Farmer with
no formal
education",14.176360556987,4.65308195083286,0.00296
"21",2,"Technology gap ratio","EduLevel","Farmer with
primary education",36.2615029520053,11.2162548798252,0.00166
"24",2,"Technology gap ratio","EduLevel","Farmer with
junior secondary
school education",47.5868284948567,19.3124111646155,0.01544
"27",2,"Technology gap ratio","EduLevel","Farmer with
senior secondary
school education",45.7304603556987,18.3746521460245,0.01447
"30",2,"Technology gap ratio","EduLevel","Farmer with
post senior
secondary school
education",12.7698473209861,8.57819266686757,0.13973
"2",2,"Technical efficiency","Female","Female
farmer",-32.1468394978499,9.98215675909138,0.00173
"5",2,"Technical efficiency","Female","Male
farmer",-26.7029961265949,8.89232977828971,0.00338
"8",2,"Technical efficiency","AgeCat","Farmer aged
35 or less",-21.8484261015279,7.035577228894,0.00247
"11",2,"Technical efficiency","AgeCat","Farmer aged
36 to 59",-30.4770567995006,9.59473236976281,0.00198
"14",2,"Technical efficiency","AgeCat","Farmer aged
60 or more",-28.2997416649852,10.8069075260934,0.0102
"17",2,"Technical efficiency","EduLevel","Farmer with
no formal
education",-8.7944027757634,4.58823199004453,0.05813
"20",2,"Technical efficiency","EduLevel","Farmer with
primary education",-28.7433457416677,9.46075053193756,0.00304
"23",2,"Technical efficiency","EduLevel","Farmer with
junior secondary
school education",-43.6319829345424,12.2500819783379,0.00057
"26",2,"Technical efficiency","EduLevel","Farmer with
senior secondary
school education",-44.039877068771,14.3825910372845,0.00282
"29",2,"Technical efficiency","EduLevel","Farmer with
post senior
secondary school
education",-27.4655121801367,10.1906574395584,0.00825
"1",2,"Meta-technical-efficiency","Female","Female
farmer",-0.973205267443723,1.29182751410701,0.45301
"4",2,"Meta-technical-efficiency","Female","Male
farmer",3.60990940836102,1.98329606019998,0.07173
"7",2,"Meta-technical-efficiency","AgeCat","Farmer aged
35 or less",13.285743691315,2.74906544200216,0
"10",2,"Meta-technical-efficiency","AgeCat","Farmer aged
36 to 59",0.195339925847326,1.76004813741873,0.91185
"13",2,"Meta-technical-efficiency","AgeCat","Farmer aged
60 or more",-2.28543878446372,2.52431840772311,0.36745
"16",2,"Meta-technical-efficiency","EduLevel","Farmer with
no formal
education",15.2773155423445,3.47239568211695,3e-05
"19",2,"Meta-technical-efficiency","EduLevel","Farmer with
primary education",9.61962435497239,2.24649969506986,4e-05
"22",2,"Meta-technical-efficiency","EduLevel","Farmer with
junior secondary
school education",-10.0369167636144,1.65274921935074,0
"25",2,"Meta-technical-efficiency","EduLevel","Farmer with
senior secondary
school education",-13.1125929827638,1.5135858750348,0
"28",2,"Meta-technical-efficiency","EduLevel","Farmer with
post senior
secondary school
education",-7.75944993568473,4.03585213512512,0.05737
