"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","CROP","Cocoa",24.314856009738,6.68634626023488,0.00044
"6",2,"Technology gap ratio","CROP","Cocoyam",15.1238837008645,9.73005805805343,0.12326
"9",2,"Technology gap ratio","CROP","Palm",30.4150370946022,11.1112006446476,0.00733
"12",2,"Technology gap ratio","CROP","Plantain",25.3052881980905,9.73434064926276,0.01075
"15",2,"Technology gap ratio","CROP","Cassava",22.8925897626992,8.18334758726543,0.00618
"18",2,"Technology gap ratio","CROP","Yam",-4.07857850135338,2.20005244994808,0.06671
"21",2,"Technology gap ratio","CROP","Maize",7.05122210445556,2.14978890961912,0.00143
"24",2,"Technology gap ratio","CROP","Pepper",7.25112159363848,4.17436533892188,0.08546
"27",2,"Technology gap ratio","CROP","Other",7.80332690695644,2.53559409192677,0.00269
"30",2,"Technology gap ratio","CROP","Okra",-8.20246769335913,1.96092677685384,6e-05
"33",2,"Technology gap ratio","CROP","Rice",-1.36599903042948,0.236350249387934,0
"36",2,"Technology gap ratio","CROP","Peanut",-0.0483355249646309,0.337088629162611,0.88627
"39",2,"Technology gap ratio","CROP","Tomatoe",6.60628877701836,3.51130272787519,0.06282
"42",2,"Technology gap ratio","CROP","Beans",0.353281000748182,0.30727989346781,0.25301
"45",2,"Technology gap ratio","CROP","Millet",-0.40917657981223,0.0296229876819417,0
"48",2,"Technology gap ratio","CROP","Sorghum",-0.101543942856974,0.0309679296996261,0.00143
"2",2,"Technical efficiency","CROP","Cocoa",-32.3961422983109,3.52767850047456,0
"5",2,"Technical efficiency","CROP","Cocoyam",-24.749397576859,5.1945443480666,1e-05
"8",2,"Technical efficiency","CROP","Palm",-29.4624488661077,4.16792093291872,0
"11",2,"Technical efficiency","CROP","Plantain",-25.035063802067,4.74173193894021,0
"14",2,"Technical efficiency","CROP","Cassava",-24.9383802377025,4.40898302499243,0
"17",2,"Technical efficiency","CROP","Yam",0.629341097643184,3.43961903166695,0.85519
"20",2,"Technical efficiency","CROP","Maize",-7.27255044225621,2.55929368964735,0.00544
"23",2,"Technical efficiency","CROP","Pepper",-9.36956877304144,4.02510027451888,0.02194
"26",2,"Technical efficiency","CROP","Other",-7.42662378547277,3.01205505607512,0.01538
"29",2,"Technical efficiency","CROP","Okra",13.2317205734442,4.05943981387192,0.00153
"32",2,"Technical efficiency","CROP","Rice",16.2412018662579,0.40618636132516,0
"35",2,"Technical efficiency","CROP","Peanut",15.7064564050874,0.822280525903509,0
"38",2,"Technical efficiency","CROP","Tomatoe",1.53835534596083,4.90899774599166,0.75465
"41",2,"Technical efficiency","CROP","Beans",18.3821921358356,0.435901675064679,0
"44",2,"Technical efficiency","CROP","Millet",22.6183230219511,0.172882787352565,0
"47",2,"Technical efficiency","CROP","Sorghum",28.9058567351202,0.201083978835017,0
"1",2,"Meta-technical-efficiency","CROP","Cocoa",-16.8768367753269,0.837090682351078,0
"4",2,"Meta-technical-efficiency","CROP","Cocoyam",-14.3984363351739,0.722428242458782,0
"7",2,"Meta-technical-efficiency","CROP","Palm",-8.30181685796511,0.856832992332048,0
"10",2,"Meta-technical-efficiency","CROP","Plantain",-5.17906316601502,0.633195477785647,0
"13",2,"Meta-technical-efficiency","CROP","Cassava",-4.66062024123951,0.41912223975963,0
"16",2,"Meta-technical-efficiency","CROP","Yam",2.34001828254308,0.492689545756437,1e-05
"19",2,"Meta-technical-efficiency","CROP","Maize",8.87072832722327,0.255824458437607,0
"22",2,"Meta-technical-efficiency","CROP","Pepper",9.13724102046644,0.726131773677472,0
"25",2,"Meta-technical-efficiency","CROP","Other",9.82827106218094,0.248463471022671,0
"28",2,"Meta-technical-efficiency","CROP","Okra",14.4403492282938,0.628582834280937,0
"31",2,"Meta-technical-efficiency","CROP","Rice",17.0215113998216,0.167211582731904,0
"34",2,"Meta-technical-efficiency","CROP","Peanut",17.2329895321011,0.224592673376665,0
"37",2,"Meta-technical-efficiency","CROP","Tomatoe",18.738668502333,0.986550046698879,0
"40",2,"Meta-technical-efficiency","CROP","Beans",21.470416050676,0.229336824646785,0
"43",2,"Meta-technical-efficiency","CROP","Millet",22.3554218784195,0.139404727257401,0
"46",2,"Meta-technical-efficiency","CROP","Sorghum",28.7485938385742,0.205055298554987,0
