"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","Region","Brong Ahafo",52.1516941106218,20.7382909922896,0.01351
"6",2,"Technology gap ratio","Region","Eastern",44.4846363160733,18.8595146089662,0.02028
"9",2,"Technology gap ratio","Region","Central",43.6926037409467,15.1608632296444,0.00484
"12",2,"Technology gap ratio","Region","Volta",74.2714791068911,24.1999551304821,0.00276
"15",2,"Technology gap ratio","Region","Ashanti",89.9132468509803,29.2756182391293,0.00275
"18",2,"Technology gap ratio","Region","Western",76.215227657545,23.3089410021241,0.00148
"21",2,"Technology gap ratio","Region","Greater Accra",51.5471586183081,21.1587234024232,0.01661
"24",2,"Technology gap ratio","Region","Northern",-0.00126774554284483,0.0896325726087261,0.98874
"27",2,"Technology gap ratio","Region","Upper East",0,0.0828353656301561,1
"30",2,"Technology gap ratio","Region","Upper West",-0.00166991124895644,0.0208023205892418,0.93618
"2",2,"Technical efficiency","Region","Brong Ahafo",-50.5656658716374,12.5020774140668,1e-04
"5",2,"Technical efficiency","Region","Eastern",-46.0603807852343,11.5533190560604,0.00013
"8",2,"Technical efficiency","Region","Central",-44.4211534505008,12.0613559638053,0.00037
"11",2,"Technical efficiency","Region","Volta",-52.1162656304138,11.580952814377,2e-05
"14",2,"Technical efficiency","Region","Ashanti",-54.1169666939824,10.7489561407741,0
"17",2,"Technical efficiency","Region","Western",-48.1659446906093,9.60977278093159,0
"20",2,"Technical efficiency","Region","Greater Accra",-37.0383470732894,14.5244984786255,0.01229
"23",2,"Technical efficiency","Region","Northern",18.4971107084444,3.16946113232214,0
"26",2,"Technical efficiency","Region","Upper East",19.2692955186247,3.31231134033002,0
"29",2,"Technical efficiency","Region","Upper West",20.3341524106065,3.49889609524867,0
"1",2,"Meta-technical-efficiency","Region","Brong Ahafo",-22.1021884118105,2.57182324909021,0
"4",2,"Meta-technical-efficiency","Region","Eastern",-21.001198049268,1.4167297020435,0
"7",2,"Meta-technical-efficiency","Region","Central",-19.260160324765,4.52797240312443,5e-05
"10",2,"Meta-technical-efficiency","Region","Volta",-16.766947532207,2.77014708392754,0
"13",2,"Meta-technical-efficiency","Region","Ashanti",-11.7988769929847,5.39857886815408,0.03118
"16",2,"Meta-technical-efficiency","Region","Western",-7.61486031085272,3.4858996613738,0.03126
"19",2,"Meta-technical-efficiency","Region","Greater Accra",-4.26361039781959,2.93596009576263,0.14958
"22",2,"Meta-technical-efficiency","Region","Northern",18.5003023951807,3.11175816506359,0
"25",2,"Meta-technical-efficiency","Region","Upper East",19.2692955186247,3.30358011328867,0
"28",2,"Meta-technical-efficiency","Region","Upper West",20.3398143651664,3.50204575541092,0
