"","method","distance","link","outcome","level","est","jack_n","jack_mean","jack_se","jack_tvl","jack_pvl","outC"
"246","nearest","robust_mahalanobis",NA,"PestLt","some ownership sample",-32.3922488373636,101,-32.3902526806534,0.444821595090713,-72.8162774427533,0,"Pesticide (Liter/ha)"
"244","nearest","robust_mahalanobis",NA,"PestLt","Full sample",-31.3740651068041,101,-31.5384191732848,0.383334682471254,-82.2738474117846,0,"Pesticide (Liter/ha)"
"245","nearest","robust_mahalanobis",NA,"PestLt","No ownership sample",-30.3695845345057,101,-30.6972227831214,0.448295121047346,-68.4754781881273,0,"Pesticide (Liter/ha)"
"209","nearest","robust_mahalanobis",NA,"SeedKg","No ownership sample",-28.8550110302412,101,-29.0319588186506,0.470072207651848,-61.7606366555342,0,"Planting materials (real value)"
"208","nearest","robust_mahalanobis",NA,"SeedKg","Full sample",-28.4318223834176,101,-28.6979548173864,0.462031411165302,-62.112562314771,0,"Planting materials (real value)"
"210","nearest","robust_mahalanobis",NA,"SeedKg","some ownership sample",-28.002388792609,101,-28.3585936274314,0.514852454736727,-55.0810108148998,0,"Planting materials (real value)"
"228","nearest","robust_mahalanobis",NA,"HirdHr","some ownership sample",-26.7137569540004,101,-27.0681459536824,0.453375181194578,-59.7036341565099,0,"Hired labor (man-days/ha)"
"226","nearest","robust_mahalanobis",NA,"HirdHr","Full sample",-23.91130441137,101,-24.1126231851372,0.412870825883356,-58.4023420244023,0,"Hired labor (man-days/ha)"
"227","nearest","robust_mahalanobis",NA,"HirdHr","No ownership sample",-21.2195651644325,101,-21.2786630395554,0.440493245221604,-48.3064457182549,0,"Hired labor (man-days/ha)"
"237","nearest","robust_mahalanobis",NA,"FertKg","some ownership sample",-16.0801965103405,101,-16.6227056026005,0.476787373697416,-34.8639802973259,0,"Fertilizer (Kg/ha)"
"235","nearest","robust_mahalanobis",NA,"FertKg","Full sample",-15.2187800705953,101,-15.6747472812986,0.438809343110537,-35.721088275347,0,"Fertilizer (Kg/ha)"
"236","nearest","robust_mahalanobis",NA,"FertKg","No ownership sample",-14.3690177684624,101,-14.741601034512,0.493028478147622,-29.9001004767478,0,"Fertilizer (Kg/ha)"
"218","nearest","robust_mahalanobis",NA,"HHLaborAE","No ownership sample",-2.45373883851541,101,-2.42490319250993,0.164348992976879,-14.7545972055397,0,"Household labor (AE)"
"217","nearest","robust_mahalanobis",NA,"HHLaborAE","Full sample",-1.82964878014451,101,-1.80879751702453,0.151530189533059,-11.9368788661742,0,"Household labor (AE)"
"219","nearest","robust_mahalanobis",NA,"HHLaborAE","some ownership sample",-1.19196732333269,101,-1.17925287840626,0.150044685945079,-7.8593445077949,4.79705164480038e-12,"Household labor (AE)"
"192","nearest","robust_mahalanobis",NA,"HrvstKg","some ownership sample",3.17595740730462,101,3.18577836370563,0.181222426837747,17.5793825261922,0,"Output (real value)"
"190","nearest","robust_mahalanobis",NA,"HrvstKg","Full sample",3.77491566163372,101,3.78950599894753,0.168733129343093,22.4585771253145,0,"Output (real value)"
"191","nearest","robust_mahalanobis",NA,"HrvstKg","No ownership sample",4.35388483028033,101,4.37298758757243,0.166710274587347,26.2310622329473,0,"Output (real value)"
"201","nearest","robust_mahalanobis",NA,"Area","some ownership sample",7.2050512210358,101,7.12231074074383,0.175743648665804,40.52670349577,0,"Land (ha)"
"199","nearest","robust_mahalanobis",NA,"Area","Full sample",7.46421039505109,101,7.40697059415655,0.172400846518602,42.9636555952604,0,"Land (ha)"
"200","nearest","robust_mahalanobis",NA,"Area","No ownership sample",7.71646457000365,101,7.68393523431902,0.186666926217803,41.1638815188578,0,"Land (ha)"
