"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"3",2,"Technology gap ratio","CROP","Yam",-9.30114001673133,0.351452631219695,0
"6",2,"Technology gap ratio","CROP","Tomatoe",-1.69450579935687,0.914872247954436,0.06695
"9",2,"Technology gap ratio","CROP","Other",-4.91163065742497,0.310567007689563,0
"12",2,"Technology gap ratio","CROP","Maize",-4.07370813920124,0.349578097416084,0
"15",2,"Technology gap ratio","CROP","Okra",-5.19697539715869,0.409507276645102,0
"18",2,"Technology gap ratio","CROP","Cassava",-4.72521874723786,0.415050703194442,0
"21",2,"Technology gap ratio","CROP","Pepper",-2.86418586321497,0.489422750309952,0
"24",2,"Technology gap ratio","CROP","Beans",0.457429509850429,0.444289078389512,0.30569
"27",2,"Technology gap ratio","CROP","Cocoa",-7.21192602401228,0.547262112011934,0
"30",2,"Technology gap ratio","CROP","Palm",-7.43999754949676,0.503207668332223,0
"33",2,"Technology gap ratio","CROP","Millet",0.754778630667845,0.488734512509524,0.12566
"36",2,"Technology gap ratio","CROP","Plantain",0.742023033880437,0.631341858877902,0.24266
"39",2,"Technology gap ratio","CROP","Cocoyam",3.0605181240023,0.830009385960104,0.00037
"42",2,"Technology gap ratio","CROP","Peanut",2.32385865331092,0.538255698744994,4e-05
"45",2,"Technology gap ratio","CROP","Rice",8.77102170776167,0.531818285078222,0
"48",2,"Technology gap ratio","CROP","Sorghum",7.70723192570405,0.667484475248079,0
"2",2,"Technical efficiency","CROP","Yam",-2.91194286832072,0.321577242795632,0
"5",2,"Technical efficiency","CROP","Tomatoe",-4.30698664524989,0.511601504308554,0
"8",2,"Technical efficiency","CROP","Other",0.719995942769934,0.258619671464045,0.00642
"11",2,"Technical efficiency","CROP","Maize",0.116408562619136,0.238187255938387,0.62611
"14",2,"Technical efficiency","CROP","Okra",3.42932807658453,0.307492231118941,0
"17",2,"Technical efficiency","CROP","Cassava",2.66269758594165,0.327850757331917,0
"20",2,"Technical efficiency","CROP","Pepper",-1.6364938372465,0.378865100049595,4e-05
"23",2,"Technical efficiency","CROP","Beans",-2.43590913521771,0.312569074845677,0
"26",2,"Technical efficiency","CROP","Cocoa",4.08633027907108,0.343245834385397,0
"29",2,"Technical efficiency","CROP","Palm",7.13192109509877,0.48219492526536,0
"32",2,"Technical efficiency","CROP","Millet",2.58405499826215,0.298892399653532,0
"35",2,"Technical efficiency","CROP","Plantain",3.25523464607123,0.405710289260811,0
"38",2,"Technical efficiency","CROP","Cocoyam",0.444304341035982,0.447945430036251,0.32365
"41",2,"Technical efficiency","CROP","Peanut",3.04454186703793,0.306855813693014,0
"44",2,"Technical efficiency","CROP","Rice",-3.02915089690896,0.32957409551488,0
"47",2,"Technical efficiency","CROP","Sorghum",0.941364250706447,0.283981275654457,0.00128
"1",2,"Meta-technical-efficiency","CROP","Yam",-10.7911709496184,0.291507268705817,0
"4",2,"Meta-technical-efficiency","CROP","Tomatoe",-5.14885470548258,0.946936445244288,0
"7",2,"Meta-technical-efficiency","CROP","Other",-5.10986661725383,0.25388803682455,0
"10",2,"Meta-technical-efficiency","CROP","Maize",-4.66197142373283,0.266354471241085,0
"13",2,"Meta-technical-efficiency","CROP","Okra",-4.56266615463321,0.455385144076119,0
"16",2,"Meta-technical-efficiency","CROP","Cassava",-3.90962384767355,0.364306723023828,0
"19",2,"Meta-technical-efficiency","CROP","Pepper",-3.69638020117872,0.514719401378398,0
"22",2,"Meta-technical-efficiency","CROP","Beans",-2.98340121638121,0.337797856394784,0
"25",2,"Meta-technical-efficiency","CROP","Cocoa",-2.84409807183278,0.627536924358789,2e-05
"28",2,"Meta-technical-efficiency","CROP","Palm",0.0479415330849035,0.717476003419285,0.94686
"31",2,"Meta-technical-efficiency","CROP","Millet",0.779400737867899,0.432083311821029,0.07427
"34",2,"Meta-technical-efficiency","CROP","Plantain",2.75303802560052,0.666956116358836,8e-05
"37",2,"Meta-technical-efficiency","CROP","Cocoyam",2.96138177813964,0.889082923676568,0.00121
"40",2,"Meta-technical-efficiency","CROP","Peanut",3.64508441866219,0.429665928804965,0
"43",2,"Meta-technical-efficiency","CROP","Rice",4.80699191269641,0.421753877315233,0
"46",2,"Meta-technical-efficiency","CROP","Sorghum",5.81238093019707,0.595053318412782,0
